segment,hydro_scenario,degradation_scenario,first_failure_time_yr,first_failure_x_m,first_failure_mode,saturation_time_yr
SUP,median,optimistic,,,,10.0
SUP,median,baseline,,,,10.0
SUP,median,pessimistic,,,,10.0
SUP,P90,optimistic,,,,10.0
SUP,P90,baseline,,,,10.0
SUP,P90,pessimistic,,,,10.0
SUP,P95,optimistic,,,,10.0
SUP,P95,baseline,,,,10.0
SUP,P95,pessimistic,,,,10.0
MED,median,optimistic,,,,10.0
MED,median,baseline,,,,10.0
MED,median,pessimistic,,,,10.0
MED,P90,optimistic,,,,10.0
MED,P90,baseline,,,,10.0
MED,P90,pessimistic,,,,10.0
MED,P95,optimistic,,,,10.0
MED,P95,baseline,,,,10.0
MED,P95,pessimistic,,,,10.0
INF,median,optimistic,,,,10.0
INF,median,baseline,,,,10.0
INF,median,pessimistic,,,,10.0
INF,P90,optimistic,,,,10.0
INF,P90,baseline,,,,10.0
INF,P90,pessimistic,,,,10.0
INF,P95,optimistic,,,,10.0
INF,P95,baseline,,,,10.0
INF,P95,pessimistic,,,,10.0
